Date,Elo
2015-04-15,1012.33
2015-04-16,1020.96
2015-04-17,1035.94
2015-04-18,1030.4
2015-04-22,1036.2
2015-04-23,1007.69
2015-05-06,1011.81
2015-05-07,1016.55
2015-05-08,1027.0
2015-05-09,1043.53
2015-05-10,1030.41
2015-05-13,1031.4
2015-05-14,1040.15
2015-05-15,1018.26
2015-05-26,1019.68
2015-05-28,1025.78
2015-05-30,1027.85
2015-06-01,1034.84
2015-06-03,1030.18
2015-06-11,1033.34
2015-06-12,1037.43
2015-06-13,1048.37
2015-06-14,1053.59
2015-06-16,1025.22
2015-06-30,1029.61
2015-07-02,999.52
2015-07-28,1005.03
2015-07-30,1007.54
2015-07-31,1012.54
2015-08-01,1017.92
2015-08-02,1023.1
2015-08-12,1026.12
2015-08-13,1028.14
2015-08-15,1014.3
2015-08-20,1019.6
2015-08-21,991.57
2015-09-01,996.18
2015-09-02,998.38
2015-09-05,971.72
2015-10-06,972.95
2015-10-07,978.23
2015-10-09,986.64
2015-10-10,993.97
2015-10-11,990.04
2015-10-14,996.78
2015-10-15,1008.94
2015-10-16,1026.27
2015-10-17,1005.43
2015-10-26,1008.95
2015-10-28,1015.77
2015-10-30,1026.72
2015-10-31,1038.54
2015-11-01,1029.94
2015-11-04,1033.3
2015-11-05,1042.39
2015-11-06,1024.7
2015-11-16,1040.45
2015-11-18,1062.28
2015-11-20,1074.46
2015-11-21,1069.13
2016-01-05,1070.56
2016-01-06,1072.54
2016-01-07,1074.39
2016-01-08,1075.7
2016-01-09,1070.84
2016-01-19,1041.63
2016-02-12,1045.14
2016-02-12,1046.89
2016-02-13,1020.2
2016-02-16,1022.03
2016-02-18,1026.99
2016-02-21,999.18
2016-03-14,1004.94
2016-03-15,1008.74
2016-03-16,1014.03
2016-03-18,1030.5
2016-03-19,1027.18
2016-04-13,1029.51
2016-04-14,1039.14
2016-04-15,1053.31
2016-04-16,1072.0
2016-04-17,1081.17
2016-04-20,1082.97
2016-04-21,1085.1
2016-04-22,1088.68
2016-04-23,1094.79
2016-04-24,1109.04
2016-05-03,1111.98
2016-05-05,1115.61
2016-05-06,1117.96
2016-05-07,1101.64
2016-05-11,1108.3
2016-05-12,1116.58
2016-05-13,1111.44
2016-05-24,1112.54
2016-05-26,1113.38
2016-08-17,1117.16
2016-08-18,1087.83
2016-08-29,1089.43
2016-09-01,1091.87
2016-09-03,1095.19
2016-09-04,1067.01
2016-10-04,1068.91
2016-10-06,1071.06
2016-10-07,1045.54
2016-10-12,1017.35
2017-01-03,1020.82
2017-01-05,1024.29
2017-01-06,1007.1
2017-01-17,1010.56
2017-01-19,1016.02
2017-01-21,1025.0
2017-01-23,1036.35
2017-01-25,1051.58
2017-01-27,1062.76
2017-01-29,1050.5
2017-03-01,1054.19
2017-03-02,1056.42
2017-03-02,1058.25
2017-03-04,1067.18
2017-03-05,1039.58
2017-03-12,1041.17
2017-03-14,1046.27
2017-03-16,1034.13
2017-03-24,1036.06
2017-03-26,1042.12
2017-03-28,1045.49
2017-03-30,1056.61
2017-03-31,1061.83
2017-01-02,1051.24
2017-04-19,1054.26
2017-04-20,1062.79
2017-04-21,1066.56
2017-04-22,1076.22
2017-04-23,1080.75
2017-04-26,1081.37
2017-04-27,1084.66
2017-04-28,1086.64
2017-04-29,1088.45
2017-04-30,1096.15
2017-05-10,1099.4
2017-05-11,1110.08
2017-05-12,1118.15
2017-05-13,1138.53
2017-05-14,1145.64
2017-05-18,1152.02
2017-05-19,1127.1
2017-05-29,1128.81
2017-05-31,1130.57
2017-06-02,1132.49
2017-06-04,1136.81
2017-06-09,1146.81
2017-06-11,1155.78
2017-07-03,1157.21
2017-07-05,1159.32
2017-07-07,1161.98
2017-07-10,1135.07
2017-08-09,1137.16
2017-08-11,1106.18
2017-08-17,1111.6
2017-08-18,1114.28
2017-08-19,1091.08
2017-08-29,1092.98
2017-09-01,1093.78
2017-09-02,1097.01
2017-09-04,1101.08
2017-09-06,1103.94
2017-09-09,1113.18
2017-09-10,1120.19
2017-10-03,1123.32
2017-10-05,1125.67
2017-10-06,1130.26
2017-10-07,1137.27
2017-10-08,1145.75
2017-10-11,1147.72
2017-10-12,1151.53
2017-10-13,1158.24
2017-10-14,1165.01
2017-10-15,1149.95
2017-11-01,1152.11
2017-11-02,1153.7
2017-11-13,1126.58
2018-01-15,1127.44
2018-01-17,1129.64
2018-01-19,1133.42
2018-01-21,1137.28
2018-04-18,1139.57
2018-04-19,1142.62
2018-04-20,1148.27
2018-04-21,1155.21
2018-04-22,1162.45
2018-04-25,1163.46
2018-04-26,1164.47
2018-04-27,1166.38
2018-04-28,1171.89
2018-04-29,1173.39
2018-05-09,1176.87
2018-05-10,1179.48
2018-05-11,1152.13
2018-05-16,1153.93
2018-05-17,1156.62
2018-05-18,1159.87
2018-05-19,1171.07
2018-05-20,1180.03
2018-05-29,1181.26
2018-05-31,1182.46
2018-06-02,1185.32
2018-06-04,1186.3
2018-06-07,1189.33
2018-06-08,1198.77
2018-06-10,1205.1
2018-07-03,1205.97
2018-07-05,1206.8
2018-07-07,1207.81
2018-07-09,1209.2
2018-07-11,1218.17
2018-07-14,1195.03
2018-08-09,1196.62
2018-08-10,1199.1
2018-08-11,1204.64
2018-08-12,1207.7
2018-08-12,1210.89
2018-08-30,1211.5
2018-08-31,1214.65
2018-09-02,1216.05
2018-09-05,1220.37
2019-01-14,1220.76
2019-01-16,1221.7
2019-01-18,1223.79
2019-01-20,1226.45
2019-01-22,1228.01
2019-01-24,1231.56
2019-01-27,1211.78
2019-02-27,1212.51
2019-02-28,1183.78
2019-03-11,1184.73
2019-03-12,1186.89
2019-03-13,1188.74
2019-03-15,1192.72
2019-04-17,1197.53
2019-04-18,1200.46
2019-04-19,1202.22
2019-04-20,1172.07
2019-04-24,1173.48
2019-04-25,1175.05
2019-04-26,1177.65
2019-04-27,1150.7
2019-05-08,1153.04
2019-05-09,1155.27
2019-05-10,1159.89
2019-05-11,1133.43
2019-05-16,1135.61
2019-05-16,1138.22
2019-05-17,1141.47
2019-05-18,1148.5
2019-05-19,1163.97
2019-05-27,1164.77
2019-05-29,1165.51
2019-05-31,1168.27
2019-06-02,1169.42
2019-06-04,1174.82
2019-06-07,1188.48
2019-06-09,1196.11
2019-07-02,1196.57
2019-07-04,1200.27
2019-07-06,1203.35
2019-07-08,1204.46
2019-07-10,1206.82
2019-07-12,1187.99
2019-08-07,1189.53
2019-08-08,1192.2
2019-08-09,1195.2
2019-08-11,1200.22
2019-08-28,1201.24
2019-08-31,1202.71
2019-09-03,1205.41
2019-09-05,1208.85
2019-09-07,1212.9
2019-10-30,1214.49
2019-10-31,1217.78
2019-11-01,1220.96
2019-11-11,1192.25
2019-11-13,1200.16
2019-11-15,1205.93
2020-01-21,1206.41
2020-01-23,1207.09
2020-01-25,1210.09
2020-01-27,1213.65
2020-01-29,1189.15
2020-02-26,1189.92
2020-02-27,1191.36
2020-02-28,1192.47
2020-02-29,1194.85
2020-03-01,1196.98
2020-09-16,1199.88
2020-09-18,1200.8
2020-09-19,1171.53
2020-09-28,1173.24
2020-09-30,1174.03
2020-10-02,1174.8
2020-10-04,1175.57
2020-10-06,1177.17
2020-10-09,1182.02
2020-10-11,1199.49
2020-11-04,1200.76
2020-11-05,1201.86
2020-11-06,1204.96
2020-11-07,1179.48
2020-11-15,1186.48
2020-11-17,1163.25
2020-11-19,1169.42
2020-11-21,1145.08
2021-02-09,1146.58
2021-02-11,1147.39
2021-02-13,1148.83
2021-02-15,1151.08
2021-02-17,1125.84
2021-04-14,1127.02
2021-04-15,1130.63
2021-04-16,1107.7
2021-04-21,1109.02
2021-04-22,1113.22
2021-04-23,1115.62
2021-04-24,1121.61
2021-04-25,1131.81
2021-05-05,1132.87
2021-05-06,1134.82
2021-05-07,1109.85
2021-05-12,1115.82
2021-05-13,1118.9
2021-05-14,1128.8
2021-05-15,1131.19
2021-05-16,1147.45
2021-06-01,1149.23
2021-06-03,1151.15
2021-06-05,1154.43
2021-06-07,1159.21
2021-06-09,1162.28
2021-06-11,1145.02
2021-08-05,1146.29
2021-08-06,1116.12
2022-01-06,1117.59
2022-01-08,1119.43
2022-01-09,1121.32
2022-01-17,1123.37
2022-01-19,1124.86
2022-01-21,1128.2
2022-01-23,1129.72
2022-01-25,1133.68
2022-01-28,1141.83
2022-01-30,1155.7
2022-02-23,1156.46
2022-02-24,1157.21
2022-02-25,1159.9
2022-02-26,1172.55
2022-02-27,1178.26
2022-03-12,1180.75
2022-03-14,1182.57
2022-03-16,1185.99
2022-03-17,1189.45
2022-03-19,1194.36
2022-03-20,1165.96
2022-05-04,1168.94
2022-05-05,1170.67
2022-05-06,1147.02
2022-05-11,1150.56
2022-05-12,1121.42
2022-05-23,1122.63
2022-05-25,1124.34
2022-05-27,1127.29
2022-05-29,1132.55
2022-05-31,1148.93
2022-06-05,1156.93
2022-06-28,1158.0
2022-06-30,1159.07
2022-07-02,1160.64
2022-07-04,1163.36
2022-07-06,1167.61
2022-08-18,1137.72
2022-08-31,1138.45
2022-09-02,1140.05
2022-09-04,1142.41
2022-09-05,1113.54
2022-11-02,1084.96
2022-11-13,1059.23
2022-11-15,1036.45
2022-11-17,1045.59
2023-01-16,1050.19
2023-01-18,1021.07
2024-01-02,1024.67
2024-01-04,1026.45
2024-01-05,997.73
