Name,Elo,Wins,Losses,MatchesPlayed
Salva B.,425.1,0,5,5
Ouahab L.,481.62,5,10,15
Peric T.,485.12,0,1,1
Saoudi S.,489.9,1,2,3
Chardy J.,607.85,278,298,576
Gil F.,538.46,47,65,112
Luque D.,484.0,0,1,1
Azzaro L.,456.84,0,3,3
Bolelli S.,601.83,108,148,256
Popp T.,473.98,0,2,2
Hartfield D.,462.56,16,28,44
Montcourt M.,482.23,4,10,14
Becker B.,465.35,144,213,357
Lee M.,483.83,1,2,3
Baker J.,404.05,3,16,19
Haase R.,532.25,197,251,448
Sirianni J.,454.56,4,11,15
Zverev M.,476.84,130,186,316
Dorsch B.,463.75,0,3,3
Stadler S.,491.77,5,10,15
Granollers M.,529.31,187,235,422
Prpic A.,482.39,0,1,1
Roshardt R.,469.32,0,2,2
Vicente M.,483.63,0,1,1
Kutac R.,482.03,0,1,1
Alves T.,407.49,7,22,29
Levine J.,473.12,28,63,91
Sijsling I.,424.38,45,84,129
Darcis S.,517.18,83,105,188
De Bakker T.,490.17,50,77,127
Querrey S.,518.91,351,303,654
Junqueira D.,399.64,10,31,41
Patriarca D.,484.0,0,1,1
Haider-Mauer A.,496.31,1,2,3
Sandbichler A.,483.76,0,1,1
Yani M.,416.42,3,13,16
Cipolla F.,416.24,29,65,94
Belic L.,461.65,0,3,3
Ianni S.,492.23,0,1,1
Panfil G.,479.3,0,1,1
King P.,454.1,1,4,5
Sweeting R.,551.19,31,56,87
Dev Varman S.,453.95,0,3,3
Polansky P.,423.77,11,38,49
Hajek J.,432.86,25,64,89
Russell M.,506.26,60,102,162
Yu X.Y.,459.78,0,2,2
Wang Y.Jr.,483.26,0,1,1
Dolgopolov A.,465.03,0,3,3
Aranguren J.M.,469.32,0,2,2
Smit J.,482.7,0,1,1
Moser F.,484.0,0,1,1
Auckland J.,522.49,2,1,3
Economidis K.,399.96,1,9,10
Clemens T.,503.95,2,2,4
Troicki V.,519.97,255,244,499
Chaen T.,480.97,0,1,1
Schuttler P.,481.68,0,1,1
Kravchuk K.,381.45,7,25,32
Fish A.,487.52,0,1,1
Fischer M.,346.97,2,19,21
Reister J.,422.28,13,30,43
Gulbis E.,518.99,213,225,438
Robredo R.,523.43,1,2,3
Giraldo S.,464.76,133,181,314
Jun W.,488.94,0,1,1
Rosol L.,508.51,106,148,254
Lacko L.,521.15,79,131,210
Dutra Silva R.,444.45,21,57,78
Andujar P.,504.4,153,230,383
Schwank E.,495.17,33,59,92
Huta Galung J.,358.93,3,25,28
Guez D.,399.66,2,16,18
Echagaray B.,458.2,0,4,4
Fornell M.,479.21,0,1,1
Gensse A.,490.51,1,3,4
Ward J.,362.16,13,50,63
Stepanek M.,496.26,0,1,1
Dustov F.,440.99,0,6,6
Chaki R.,475.79,0,2,2
Sousa P.,371.99,6,27,33
Brands D.,503.64,55,93,148
Bachinger M.,583.33,31,54,85
Eysseric J.,448.3,0,4,4
Recouderc L.,423.02,3,12,15
Nielsen F.,378.63,0,10,10
Koning M.,494.17,0,1,1
Guzman J.,483.68,0,1,1
Guccione A.,491.06,1,2,3
Prpic F.,450.33,2,7,9
Goransson T.,464.59,0,2,2
Tveit E.,488.53,0,1,1
Isner J.,609.64,466,285,751
Levine I.,481.61,0,1,1
Nishikori K.,760.57,400,192,592
Gonzalez M.,419.53,28,57,85
Riba P.,389.49,23,54,77
Ruevski P.,483.45,0,1,1
Olejniczak D.,462.26,0,3,3
Klizan M.,542.8,121,131,252
Anderson K.,614.82,332,242,574
Cuevas P.,526.12,204,206,410
McClune M.,490.67,0,1,1
Jun W.S.,440.67,1,6,7
Gard C.,485.94,0,1,1
Lindahl N.,436.3,1,8,9
Martin D.,492.9,0,1,1
Singh N.,484.46,0,1,1
Raja P.,482.88,0,1,1
Nam H.W.,461.24,0,2,2
Matsukevitch D.,483.32,1,3,4
Kamke T.,523.78,61,99,160
Youzhny A.,494.48,0,1,1
Golubev A.,460.36,48,102,150
Chekov P.,479.94,0,1,1
Kukushkin M.,474.08,138,202,340
Vardhan V.,474.84,0,2,2
Zovko L.,496.78,2,3,5
Kudryavtsev A.,455.86,5,14,19
Statham R.,484.42,0,1,1
Jones G.D.,483.53,0,1,1
Jones G.,462.16,1,6,7
Klein B.,448.31,3,10,13
Slanar M.,489.72,1,2,3
Podlipnik H.,481.49,0,2,2
Marrero D.,456.74,3,6,9
Bellucci T.,482.6,170,198,368
Munoz de la Nava D.,485.83,0,1,1
Decoud S.,519.18,4,4,8
Bowles C.,485.0,0,1,1
Crugnola M.,480.55,0,3,3
Dodig I.,550.85,110,122,232
Smyczek T.,453.31,43,85,128
Rodriguez B.,482.86,0,1,1
Ramirez C.,468.28,0,3,3
Skugor F.,444.81,7,19,26
Kavcic B.,445.94,36,77,113
Cervenak P.,538.48,5,4,9
Al-Ghareeb M.,495.17,0,1,1
Sousa J.,442.84,182,248,430
Elias G.,491.86,22,42,64
Harrison R.,551.78,109,153,262
Lopez-Jaen M.A.,509.92,1,2,3
Trujillo G.,507.45,1,1,2
Sanchez De Luna J.,481.83,0,2,2
Marrai M.,481.41,0,1,1
Del Potro J.,522.44,2,1,3
Fabbiano T.,456.41,26,62,88
Ouanna J.,517.51,9,17,26
Mannarino A.,554.4,284,332,616
Lipsky S.,480.89,0,1,1
De Voest R.,399.81,6,21,27
Evans D.,517.83,128,151,279
Berankis R.,553.44,97,142,239
Janowicz J.,646.34,77,81,158
Dimitrov G.,891.16,432,276,708
Middelkoop M.,485.75,0,1,1
Groth S.,514.69,33,56,89
Slabinsky A.,475.49,0,2,2
Kim K,495.11,0,1,1
Dabul B.,429.7,13,27,40
