Name,Elo,Wins,Losses,MatchesPlayed
Labadze I.,335,39,72,111
Melo D.,490,1,3,4
Volandri F.,305,159,198,357
Navarra M.,495,0,1,1
Santopadre V.,490,1,3,4
Traykov I.,500,1,1,2
Andersen J.F.,480,2,6,8
Galvani S.,405,16,35,51
Elseneer G.,450,14,24,38
Carlsen K.,385,80,103,183
Allegro Y.,480,3,7,10
Hilton M.,485,1,4,5
Derepasko A.,495,0,1,1
Knowle J.,415,9,26,35
Vlasov D.,495,0,1,1
Radic M.,490,2,4,6
Norman D.,365,13,40,53
Mutis O.,445,24,35,59
Lopez M.,455,20,29,49
Tkalec M.,495,0,1,1
Bozic I.,495,0,1,1
Schiessling T.,490,1,3,4
Marach O.,430,15,29,44
Peya A.,365,17,44,61
Joyce M.,490,2,4,6
Cuadrado C.,500,4,4,8
Pfeiffer K.,495,0,1,1
Stepanek R.,925,348,263,611
Fleishman Z.,450,7,17,24
Brasington J.,470,2,8,10
Bogomolov Jr.A.,490,1,3,4
de Chaunac S.,435,4,17,21
Peppas S.,495,0,1,1
Ramirez Hidalgo R.,480,6,10,16
Alves T.,420,7,23,30
Mello R.,315,49,86,135
Oncins J.,495,0,1,1
Tomashevich D.,495,0,1,1
Karlovic I.,650,350,320,670
Jiang S.,495,0,1,1
Wang Y.,480,0,4,4
Koenig R.,495,0,1,1
Terachi T.,485,4,7,11
Shimada T.,490,0,2,2
Hui J.,495,0,1,1
Garcia-Sintes J.,495,0,1,1
Zitko R.,490,0,2,2
Kondo H.,490,1,3,4
Udomchoke D.,320,16,52,68
Benneteau J.,370,260,286,546
Elgin M.,465,2,9,11
Soderling R.,1110,280,158,438
Dupre T.,495,0,1,1
Al Khulaifi N.G.,495,0,1,1
Willman D.,495,0,1,1
Reid T.,460,13,21,34
Larkham T.,475,1,6,7
Crabb J.,475,1,6,7
Patience O.,365,26,53,79
Gremelmayr D.,385,30,53,83
Carraz G.,440,33,45,78
Gicquel M.,405,89,108,197
Ascione T.,340,19,51,70
Daniel M.,305,19,58,77
Hormazabal G.,485,0,3,3
Silva J.,465,2,9,11
Olguin L.,495,0,1,1
Massa E.,470,8,14,22
Mazarakis V.,475,0,5,5
Ancic M.,850,188,118,306
Matias N.,495,0,1,1
Ferrer D.,2100,678,358,1036
Verdasco F.,970,526,432,958
Gasquet R.,1495,576,377,953
Krajan Z.,430,8,22,30
Perez D.,475,1,6,7
Marin L.,495,0,1,1
Nadal-Parera R.,500,1,1,2
Albert M.,495,0,1,1
Kohlschreiber P.,890,425,347,772
Ager J.,490,0,2,2
Hadad A.,500,3,3,6
Vassallo-Arguello M.,335,43,76,119
Varlet J.,475,3,8,11
Miranda I.,475,7,12,19
Dreekmann H.,490,0,2,2
Bogdanovic A.,420,10,26,36
Moodie W.,420,45,61,106
Coetzee J.,495,0,1,1
Muller G.,470,192,198,390
Ivanov-Smolensky K.,490,0,2,2
Beck K.,255,57,106,163
Guzman J.P.,455,6,15,21
Economidis K.,450,1,11,12
Mackin A.,445,0,11,11
Waske A.,335,27,60,87
Vahaly B.,385,20,43,63
Prpic F.,470,2,8,10
Fraile G.,465,1,8,9
Hanescu V.,300,175,215,390
Todero N.,495,0,1,1
Blake T.,485,2,5,7
