Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Odd_1,Odd_2,Score,Player_1_Elo,Player_2_Elo
Open Romania,17/09/2004,International,Outdoor,Clay,Quarterfinals,3,Mantilla F.,Andreev I.,Andreev I.,2.1,1.66,4-6 2-6,505,505
Open Romania,17/09/2004,International,Outdoor,Clay,Quarterfinals,3,Mayer F.,Ferrer D.,Mayer F.,1.66,2.1,6-4 6-2,535,485
Open Romania,18/09/2004,International,Outdoor,Clay,Semifinals,3,Volandri F.,Acasuso J.,Acasuso J.,1.66,2.1,6-7 2-6,540,515
Open Romania,18/09/2004,International,Outdoor,Clay,Semifinals,3,Andreev I.,Mayer F.,Andreev I.,1.8,1.9,2-6 6-1 6-4,510,530
Open Romania,19/09/2004,International,Outdoor,Clay,The Final,3,Andreev I.,Acasuso J.,Acasuso J.,1.72,2.0,3-6 0-6,505,520
International Championships,13/09/2004,International,Outdoor,Hard,1st Round,3,Golmard J.,Norman D.,Golmard J.,1.57,2.25,7-5 3-6 6-4,495,475
International Championships,13/09/2004,International,Outdoor,Hard,1st Round,3,Karlovic I.,Goldstein P.,Goldstein P.,1.33,3.0,6-4 3-6 6-7,465,495
International Championships,14/09/2004,International,Outdoor,Hard,1st Round,3,Ancic M.,Gambill J.M.,Ancic M.,1.57,2.25,6-3 6-4,530,465
International Championships,14/09/2004,International,Outdoor,Hard,1st Round,3,Malisse X.,Rusedski G.,Rusedski G.,1.83,1.83,5-7 6-4 1-6,485,520
International Championships,14/09/2004,International,Outdoor,Hard,1st Round,3,Carlsen K.,Saulnier C.,Carlsen K.,2.75,1.4,2-6 6-4 7-5,465,510
International Championships,14/09/2004,International,Outdoor,Hard,1st Round,3,Bohane A.,Blake J.,Blake J.,6.0,1.11,6-4 3-6 2-6,495,515
International Championships,14/09/2004,International,Outdoor,Hard,1st Round,3,Phau B.,Odesnik W.,Phau B.,1.53,2.37,4-6 6-3 6-0,505,485
International Championships,14/09/2004,International,Outdoor,Hard,1st Round,3,Garcia A.,Delic A.,Delic A.,1.79925,1.903333333333333,6-2 2-6 3-6,495,490
International Championships,15/09/2004,International,Outdoor,Hard,1st Round,3,Fish M.,Pedroso A.,Fish M.,1.115,6.1875,6-1 6-2,530,495
International Championships,15/09/2004,International,Outdoor,Hard,1st Round,3,Widom T.,Morrison J.,Morrison J.,3.5,1.25,4-6 3-6,495,505
International Championships,15/09/2004,International,Outdoor,Hard,1st Round,3,de Chaunac S.,Stepanek R.,de Chaunac S.,2.5,1.5,6-7 7-6 6-1,490,505
International Championships,15/09/2004,International,Outdoor,Hard,1st Round,3,Falla A.,Spadea V.,Spadea V.,4.0,1.22,6-4 5-7 1-6,495,565
International Championships,15/09/2004,International,Outdoor,Hard,1st Round,3,Mello R.,Elseneer G.,Mello R.,1.57,2.25,6-1 6-4,495,465
International Championships,15/09/2004,International,Outdoor,Hard,1st Round,3,Mirnyi M.,Armando H.,Armando H.,1.3205,3.85,6-3 6-7 6-7,465,505
International Championships,15/09/2004,International,Outdoor,Hard,1st Round,3,Boeker M.,Kendrick R.,Boeker M.,1.965,1.734,6-3 6-2,505,500
International Championships,15/09/2004,International,Outdoor,Hard,1st Round,3,Chiudinelli M.,Salzenstein J.,Salzenstein J.,2.25,1.57,5-7 7-6 2-6,485,465
International Championships,15/09/2004,International,Outdoor,Hard,2nd Round,3,Ancic M.,Delic A.,Ancic M.,1.25,3.75,6-1 6-3,535,485
International Championships,15/09/2004,International,Outdoor,Hard,2nd Round,3,de Chaunac S.,Golmard J.,Golmard J.,2.5,1.5,3-6 2-6,485,500
International Championships,15/09/2004,International,Outdoor,Hard,2nd Round,3,Carlsen K.,Phau B.,Carlsen K.,1.5,2.5,5-7 6-4 6-2,470,500
International Championships,16/09/2004,International,Outdoor,Hard,2nd Round,3,Fish M.,Mello R.,Mello R.,1.28,3.5,7-5 4-6 4-6,525,500
International Championships,16/09/2004,International,Outdoor,Hard,2nd Round,3,Salzenstein J.,Goldstein P.,Salzenstein J.,1.8,1.9,6-2 2-6 6-1,470,490
International Championships,16/09/2004,International,Outdoor,Hard,2nd Round,3,Morrison J.,Armando H.,Armando H.,1.53,2.37,6-7 3-6,500,510
International Championships,16/09/2004,International,Outdoor,Hard,2nd Round,3,Rusedski G.,Boeker M.,Rusedski G.,1.16,4.5,6-3 6-4,525,500
International Championships,17/09/2004,International,Outdoor,Hard,2nd Round,3,Blake J.,Spadea V.,Spadea V.,2.62,1.44,3-6 1-6,510,570
International Championships,17/09/2004,International,Outdoor,Hard,Quarterfinals,3,Ancic M.,Carlsen K.,Ancic M.,1.36,3.0,6-2 7-5,540,465
International Championships,17/09/2004,International,Outdoor,Hard,Quarterfinals,3,Golmard J.,Mello R.,Mello R.,2.1,1.66,7-6 3-6 3-6,495,505
International Championships,18/09/2004,International,Outdoor,Hard,Quarterfinals,3,Spadea V.,Armando H.,Spadea V.,1.3,3.4,6-3 1-6 6-4,575,505
International Championships,18/09/2004,International,Outdoor,Hard,Quarterfinals,3,Rusedski G.,Salzenstein J.,Salzenstein J.,1.22,4.0,4-6 6-7,520,475
International Championships,18/09/2004,International,Outdoor,Hard,Semifinals,3,Mello R.,Ancic M.,Mello R.,2.37,1.53,7-6 6-3,510,535
International Championships,19/09/2004,International,Outdoor,Hard,Semifinals,3,Salzenstein J.,Spadea V.,Spadea V.,3.25,1.33,1-6 3-6,470,580
International Championships,19/09/2004,International,Outdoor,Hard,The Final,3,Mello R.,Spadea V.,Mello R.,2.37,1.53,7-6 6-3,515,575
Thailand Open,27/09/2004,International,Indoor,Hard,1st Round,3,Amritraj P.,Saretta F.,Saretta F.,2.87,1.36,3-6 3-6,490,480
Thailand Open,27/09/2004,International,Indoor,Hard,1st Round,3,Johansson T.,Lopez F.,Johansson T.,1.83,1.83,6-1 2-6 7-6,525,495
Thailand Open,28/09/2004,International,Indoor,Hard,1st Round,3,Rosset M.,Baccanello P.,Baccanello P.,1.72,2.0,6-7 6-1 6-7,490,500
Thailand Open,28/09/2004,International,Indoor,Hard,1st Round,3,van Scheppingen D.,Djokovic N.,van Scheppingen D.,1.61,2.2,4-6 7-5 6-4,480,490
Thailand Open,28/09/2004,International,Indoor,Hard,1st Round,3,Crabb J.,Bogomolov A.,Bogomolov A.,2.7,1.3,4-6 2-6,495,470
Thailand Open,28/09/2004,International,Indoor,Hard,1st Round,3,Morrison J.,Kohlmann M.,Morrison J.,1.413,2.66,6-4 6-3,505,495
Thailand Open,28/09/2004,International,Indoor,Hard,1st Round,3,Gimelstob J.,Dent T.,Dent T.,3.0,1.33,6-4 4-6 4-6,480,495
Thailand Open,28/09/2004,International,Indoor,Hard,1st Round,3,Heuberger I.,Savolt A.,Heuberger I.,1.25,3.5,6-4 6-1,480,490
Thailand Open,28/09/2004,International,Indoor,Hard,1st Round,3,Thomann N.,Federer R.,Federer R.,11.0,1.02,4-6 6-7,485,775
Thailand Open,29/09/2004,International,Indoor,Hard,1st Round,3,Wassen R.,Andreev I.,Wassen R.,4.283333333333334,1.2025,6-1 6-2,505,500
Thailand Open,29/09/2004,International,Indoor,Hard,1st Round,3,Udomchoke D.,Vanek J.,Vanek J.,1.727,2.0,6-3 5-7 2-6,485,495
Thailand Open,29/09/2004,International,Indoor,Hard,1st Round,3,Garcia A.,Iwabuchi S.,Garcia A.,,,7-6 6-3,500,495
Thailand Open,29/09/2004,International,Indoor,Hard,1st Round,3,Levy H.,Soderling R.,Soderling R.,4.5,1.167,3-6 4-6,460,495
Thailand Open,29/09/2004,International,Indoor,Hard,1st Round,3,Safin M.,Okun N.,Safin M.,1.143,5.0,6-2 6-3,575,500
Thailand Open,29/09/2004,International,Indoor,Hard,1st Round,3,Chiudinelli M.,Srichaphan P.,Srichaphan P.,5.0,1.14,4-6 6-7,480,555
Thailand Open,29/09/2004,International,Indoor,Hard,1st Round,3,Roddick A.,Parmar A.,Roddick A.,1.02,11.0,6-1 6-4,730,475
Thailand Open,30/09/2004,International,Indoor,Hard,2nd Round,3,Baccanello P.,Soderling R.,Soderling R.,4.333,1.2,1-6 3-6,495,500
Thailand Open,30/09/2004,International,Indoor,Hard,2nd Round,3,van Scheppingen D.,Dent T.,van Scheppingen D.,4.0,1.222,6-0 6-4,485,490
Thailand Open,30/09/2004,International,Indoor,Hard,2nd Round,3,Vanek J.,Safin M.,Safin M.,6.5,1.1,3-6 4-6,490,580
Thailand Open,30/09/2004,International,Indoor,Hard,2nd Round,3,Saretta F.,Wassen R.,Saretta F.,1.5,2.5,3-6 6-1 6-2,485,500
Thailand Open,30/09/2004,International,Indoor,Hard,2nd Round,3,Heuberger I.,Federer R.,Federer R.,10.0,1.03,1-6 3-6,475,780
Thailand Open,30/09/2004,International,Indoor,Hard,2nd Round,3,Johansson T.,Garcia A.,Johansson T.,1.16,4.5,6-3 6-3,530,495
Thailand Open,30/09/2004,International,Indoor,Hard,2nd Round,3,Morrison J.,Roddick A.,Roddick A.,5.0,1.063,2-6 7-6 4-6,500,735
Thailand Open,30/09/2004,International,Indoor,Hard,2nd Round,3,Srichaphan P.,Bogomolov A.,Srichaphan P.,1.25,3.75,6-0 7-6,560,465
Thailand Open,1/10/2004,International,Indoor,Hard,Quarterfinals,3,Soderling R.,Federer R.,Federer R.,7.0,1.083,6-7 4-6,495,785
Thailand Open,1/10/2004,International,Indoor,Hard,Quarterfinals,3,Roddick A.,Johansson T.,Roddick A.,1.143,5.0,6-3 6-4,740,525
Thailand Open,1/10/2004,International,Indoor,Hard,Quarterfinals,3,van Scheppingen D.,Srichaphan P.,Srichaphan P.,4.5,1.167,2-6 5-7,480,565
Thailand Open,1/10/2004,International,Indoor,Hard,Quarterfinals,3,Safin M.,Saretta F.,Safin M.,1.125,5.5,6-2 6-1,585,480
Thailand Open,2/10/2004,International,Indoor,Hard,Semifinals,3,Srichaphan P.,Federer R.,Federer R.,5.5,1.125,5-7 6-2 3-6,560,790
Thailand Open,2/10/2004,International,Indoor,Hard,Semifinals,3,Roddick A.,Safin M.,Roddick A.,1.444,2.625,7-6 6-7 7-6,745,580
Thailand Open,3/10/2004,International,Indoor,Hard,The Final,3,Roddick A.,Federer R.,Federer R.,2.75,1.4,4-6 0-6,740,795
Campionati Internazionali Di Sicilia,27/09/2004,International,Outdoor,Clay,1st Round,3,Mutis O.,Patience O.,Mutis O.,2.103333333333333,1.653,6-4 6-3,470,485
Campionati Internazionali Di Sicilia,27/09/2004,International,Outdoor,Clay,1st Round,3,Falla A.,Acasuso J.,Acasuso J.,3.0,1.33,3-6 1-6,490,525
Campionati Internazionali Di Sicilia,27/09/2004,International,Outdoor,Clay,1st Round,3,Verdasco F.,Aldi F.,Verdasco F.,1.16,4.5,6-2 4-6 6-2,520,495
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,di Mauro A.,Blanco G.,Blanco G.,1.579,2.24,6-2 2-6 2-6,485,460
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,Calatrava A.,Elsner D.,Calatrava A.,1.3775,2.74,6-1 6-0,500,485
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,Martin A.,Ferrer D.,Ferrer D.,2.1,1.66,6-2 1-6 4-6,490,490
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,Nadal R.,Almagro N.,Nadal R.,1.222,3.75,6-1 7-5,555,475
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Lopez M.,Lopez M.,2.373333333333333,1.5163333333333335,2-6 2-6,495,490
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,Seppi A.,di Pasquale A.,Seppi A.,2.1,1.66,6-7 6-2 6-4,485,465
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,Puerta M.,Vliegen K.,Vliegen K.,2.09,1.7163333333333333,1-6 2-6,495,495
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,Davydenko N.,Hanescu V.,Davydenko N.,1.5,2.5,6-2 7-5,500,495
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,Montanes A.,Volandri F.,Volandri F.,5.0,1.143,2-6 3-6,475,545
Campionati Internazionali Di Sicilia,28/09/2004,International,Outdoor,Clay,1st Round,3,Starace P.,Gasquet R.,Starace P.,1.83,1.83,7-6 4-6 6-1,510,480
Campionati Internazionali Di Sicilia,29/09/2004,International,Outdoor,Clay,1st Round,3,Hernandez O.,Berdych T.,Berdych T.,2.875,1.364,7-6 3-6 3-6,450,490
Campionati Internazionali Di Sicilia,29/09/2004,International,Outdoor,Clay,1st Round,3,Massu N.,Sanchez D.,Massu N.,1.444,2.625,6-3 6-2,515,470
Campionati Internazionali Di Sicilia,29/09/2004,International,Outdoor,Clay,2nd Round,3,Calatrava A.,Ferrer D.,Ferrer D.,2.625,1.444,6-3 6-7 2-6,495,495
Campionati Internazionali Di Sicilia,29/09/2004,International,Outdoor,Clay,2nd Round,3,Davydenko N.,Lopez M.,Davydenko N.,1.364,3.0,6-1 6-4,505,485
Campionati Internazionali Di Sicilia,29/09/2004,International,Outdoor,Clay,2nd Round,3,Verdasco F.,Monaco J.,Monaco J.,1.571,2.25,4-6 7-5 3-6,515,525
Campionati Internazionali Di Sicilia,29/09/2004,International,Outdoor,Clay,2nd Round,3,Mutis O.,Nadal R.,Mutis O.,4.5,1.167,6-3 6-3,475,550
Campionati Internazionali Di Sicilia,30/09/2004,International,Outdoor,Clay,2nd Round,3,Acasuso J.,Berdych T.,Berdych T.,1.533,2.375,6-4 5-7 4-6,520,495
Campionati Internazionali Di Sicilia,30/09/2004,International,Outdoor,Clay,2nd Round,3,Volandri F.,Blanco G.,Volandri F.,1.167,4.5,6-2 6-1,550,455
Campionati Internazionali Di Sicilia,1/10/2004,International,Outdoor,Clay,Quarterfinals,3,Davydenko N.,Ferrer D.,Ferrer D.,1.615,2.2,2-6 6-2 4-6,500,500
Campionati Internazionali Di Sicilia,1/10/2004,International,Outdoor,Clay,Quarterfinals,3,Monaco J.,Mutis O.,Monaco J.,1.5,2.5,6-3 6-2,530,470
Campionati Internazionali Di Sicilia,1/10/2004,International,Outdoor,Clay,Quarterfinals,3,Seppi A.,Berdych T.,Berdych T.,2.625,1.444,2-6 4-6,480,500
Campionati Internazionali Di Sicilia,1/10/2004,International,Outdoor,Clay,Quarterfinals,3,Volandri F.,Massu N.,Volandri F.,2.25,1.571,6-3 3-6 6-4,555,510
Campionati Internazionali Di Sicilia,2/10/2004,International,Outdoor,Clay,Semifinals,3,Ferrer D.,Berdych T.,Berdych T.,1.8,1.909,5-7 4-6,495,505
Campionati Internazionali Di Sicilia,2/10/2004,International,Outdoor,Clay,Semifinals,3,Volandri F.,Monaco J.,Volandri F.,1.533,2.375,6-1 6-4,560,525
Campionati Internazionali Di Sicilia,3/10/2004,International,Outdoor,Clay,The Final,3,Volandri F.,Berdych T.,Berdych T.,1.57,2.25,3-6 3-6,555,510
Heineken Open,27/09/2004,International,Outdoor,Hard,1st Round,3,Carlsen K.,Hernych J.,Carlsen K.,2.0,1.72,7-5 6-1,470,490
Heineken Open,27/09/2004,International,Outdoor,Hard,1st Round,3,Ulihrach B.,Sanguinetti D.,Sanguinetti D.,1.66,2.1,3-6 3-6,440,460
Heineken Open,27/09/2004,International,Outdoor,Hard,1st Round,3,Canas G.,Garcia-Lopez G.,Canas G.,1.2,4.0,7-6 6-3,550,490
Heineken Open,27/09/2004,International,Outdoor,Hard,1st Round,3,Lisnard J.R.,Muller G.,Muller G.,1.83,1.83,6-3 4-6 4-6,460,505
Heineken Open,28/09/2004,International,Outdoor,Hard,1st Round,3,Pless K.,Rochus C.,Pless K.,1.518333333333333,2.41,4-6 7-5 6-0,485,470
Heineken Open,28/09/2004,International,Outdoor,Hard,1st Round,3,Zeng S.X.,Burgsmuller L.,Burgsmuller L.,3.75,1.22,3-6 4-6,495,440
Heineken Open,28/09/2004,International,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Healey N.,Roger-Vasselin E.,1.5,2.1,4-6 7-6 6-4,505,490
Heineken Open,28/09/2004,International,Outdoor,Hard,1st Round,3,Zib T.,Zhu B.Q.,Zhu B.Q.,1.25,3.5,6-1 4-6 4-6,475,500
Heineken Open,28/09/2004,International,Outdoor,Hard,1st Round,3,van Gemerden M.,Vacek J.,van Gemerden M.,2.1,1.5,6-4 6-2,500,460
Heineken Open,28/09/2004,International,Outdoor,Hard,1st Round,3,Philippoussis M.,Weiner G.,Weiner G.,1.402,2.833333333333333,6-3 4-6 4-6,475,495
Heineken Open,28/09/2004,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Klec I.,Gambill J.M.,1.1626666666666667,4.683333333333334,6-4 6-3,470,495
Heineken Open,29/09/2004,International,Outdoor,Hard,1st Round,3,van Lottum J.,Tipsarevic J.,Tipsarevic J.,2.1,1.66,1-6 4-6,460,490
Heineken Open,29/09/2004,International,Outdoor,Hard,1st Round,3,Nieminen J.,Phau B.,Nieminen J.,1.25,3.0,3-6 6-3 6-4,525,495
Heineken Open,29/09/2004,International,Outdoor,Hard,1st Round,3,Lu Y.H.,Novak J.,Novak J.,3.2325,1.3173333333333337,2-6 2-6,485,540
Heineken Open,29/09/2004,International,Outdoor,Hard,1st Round,3,Mello R.,Peya A.,Mello R.,1.25,3.5,6-4 6-4,520,475
Heineken Open,30/09/2004,International,Outdoor,Hard,2nd Round,3,Tipsarevic J.,Mello R.,Mello R.,2.75,1.4,6-1 6-7 4-6,485,525
Heineken Open,30/09/2004,International,Outdoor,Hard,2nd Round,3,Burgsmuller L.,Roger-Vasselin E.,Burgsmuller L.,1.66,2.1,6-3 6-3,445,500
Heineken Open,30/09/2004,International,Outdoor,Hard,2nd Round,3,Nieminen J.,Sanguinetti D.,Sanguinetti D.,1.4,2.75,4-6 5-7,520,465
Heineken Open,30/09/2004,International,Outdoor,Hard,2nd Round,3,Muller G.,Weiner G.,Muller G.,1.615,2.2,5-7 6-3 7-5,510,490
Heineken Open,30/09/2004,International,Outdoor,Hard,2nd Round,3,Zhu B.Q.,Gambill J.M.,Gambill J.M.,4.33,1.2,0-6 6-7,495,475
Heineken Open,30/09/2004,International,Outdoor,Hard,2nd Round,3,Carlsen K.,Arthurs W.,Carlsen K.,1.66,2.1,1-6 6-3 7-6,475,470
Heineken Open,30/09/2004,International,Outdoor,Hard,2nd Round,3,Pless K.,Canas G.,Canas G.,3.75,1.25,2-6 6-4 4-6,480,555
Heineken Open,30/09/2004,International,Outdoor,Hard,2nd Round,3,Novak J.,van Gemerden M.,Novak J.,1.14,5.0,6-4 6-7 6-1,545,495
Heineken Open,1/10/2004,International,Outdoor,Hard,Quarterfinals,3,Mello R.,Canas G.,Canas G.,2.375,1.533,3-6 4-6,520,560
Heineken Open,1/10/2004,International,Outdoor,Hard,Quarterfinals,3,Novak J.,Gambill J.M.,Novak J.,1.5,2.5,6-3 6-3,550,470
Heineken Open,1/10/2004,International,Outdoor,Hard,Quarterfinals,3,Muller G.,Carlsen K.,Carlsen K.,2.0,1.727,6-7 1-6,505,480
Heineken Open,1/10/2004,International,Outdoor,Hard,Quarterfinals,3,Burgsmuller L.,Sanguinetti D.,Burgsmuller L.,2.2,1.615,6-3 6-7 7-6,450,460
Heineken Open,2/10/2004,International,Outdoor,Hard,Semifinals,3,Novak J.,Canas G.,Canas G.,1.83,1.83,1-6 2-6,545,565
Heineken Open,2/10/2004,International,Outdoor,Hard,Semifinals,3,Burgsmuller L.,Carlsen K.,Burgsmuller L.,2.25,1.57,7-5 6-3,455,475
Heineken Open,3/10/2004,International,Outdoor,Hard,The Final,3,Burgsmuller L.,Canas G.,Canas G.,4.0,1.22,1-6 0-6,450,570
Grand Prix de Lyon,4/10/2004,International,Indoor,Carpet,1st Round,3,Lopez F.,Davydenko N.,Lopez F.,1.444,2.625,6-3 6-7 6-3,500,495
Grand Prix de Lyon,4/10/2004,International,Indoor,Carpet,1st Round,3,Hrbaty D.,Malisse X.,Malisse X.,1.444,2.625,4-6 6-7,580,490
Grand Prix de Lyon,4/10/2004,International,Indoor,Carpet,1st Round,3,Ljubicic I.,Clement A.,Ljubicic I.,1.615,2.2,6-4 7-6,540,465
Grand Prix de Lyon,4/10/2004,International,Indoor,Carpet,1st Round,3,Costa A.,Bjorkman J.,Bjorkman J.,2.625,1.444,7-6 6-7 4-6,485,480
Grand Prix de Lyon,5/10/2004,International,Indoor,Carpet,1st Round,3,Ferrer D.,Sluiter R.,Ferrer D.,2.375,1.533,6-3 6-4,500,485
Grand Prix de Lyon,5/10/2004,International,Indoor,Carpet,1st Round,3,Robredo T.,Soderling R.,Soderling R.,2.1,1.667,1-6 4-6,570,500
Grand Prix de Lyon,5/10/2004,International,Indoor,Carpet,1st Round,3,Youzhny M.,Horna L.,Youzhny M.,1.25,3.5,6-4 7-6,530,510
Grand Prix de Lyon,5/10/2004,International,Indoor,Carpet,1st Round,3,Ginepri R.,Spadea V.,Spadea V.,2.1,1.667,4-6 3-6,475,580
Grand Prix de Lyon,5/10/2004,International,Indoor,Carpet,1st Round,3,Calleri A.,Massu N.,Calleri A.,2.583333333333333,1.47275,6-3 6-4,535,505
Grand Prix de Lyon,5/10/2004,International,Indoor,Carpet,1st Round,3,Mathieu P.H.,Stepanek R.,Stepanek R.,1.571,2.25,6-4 5-7 2-6,495,510
Grand Prix de Lyon,5/10/2004,International,Indoor,Carpet,1st Round,3,Ferrero J.C.,Sargsian S.,Ferrero J.C.,1.333,3.0,6-3 7-6,545,455
Grand Prix de Lyon,6/10/2004,International,Indoor,Carpet,1st Round,3,Monaco J.,Johansson J.,Johansson J.,3.75,1.222,4-6 3-6,520,550
Grand Prix de Lyon,6/10/2004,International,Indoor,Carpet,1st Round,3,Melzer J.,Llodra M.,Melzer J.,2.25,1.571,7-6 6-4,525,540
Grand Prix de Lyon,6/10/2004,International,Indoor,Carpet,1st Round,3,Nadal R.,Benneteau J.,Benneteau J.,1.444,2.625,3-6 0-6,545,500
Grand Prix de Lyon,6/10/2004,International,Indoor,Carpet,1st Round,3,Arazi H.,Schuettler R.,Arazi H.,2.25,1.571,6-4 1-6 6-3,495,480
Grand Prix de Lyon,6/10/2004,International,Indoor,Carpet,2nd Round,3,Lopez F.,Soderling R.,Soderling R.,1.833,1.833,6-4 3-6 3-6,495,505
Grand Prix de Lyon,6/10/2004,International,Indoor,Carpet,2nd Round,3,Bjorkman J.,Mirnyi M.,Bjorkman J.,1.833,1.833,6-7 7-6 6-4,485,460
Grand Prix de Lyon,6/10/2004,International,Indoor,Carpet,2nd Round,3,Stepanek R.,Malisse X.,Malisse X.,2.25,1.571,6-4 6-7 0-6,505,495
Grand Prix de Lyon,6/10/2004,International,Indoor,Carpet,2nd Round,3,Spadea V.,Ljubicic I.,Spadea V.,2.0,1.727,6-4 7-6,585,535
Grand Prix de Lyon,7/10/2004,International,Indoor,Carpet,2nd Round,3,Calleri A.,Youzhny M.,Youzhny M.,2.625,1.444,3-6 7-6 6-7,530,535
Grand Prix de Lyon,7/10/2004,International,Indoor,Carpet,2nd Round,3,Ferrer D.,Ferrero J.C.,Ferrer D.,3.4,1.3,3-6 7-5 6-3,505,540
Grand Prix de Lyon,7/10/2004,International,Indoor,Carpet,2nd Round,3,Benneteau J.,Johansson J.,Johansson J.,3.4,1.3,3-6 3-6,495,555
Grand Prix de Lyon,7/10/2004,International,Indoor,Carpet,2nd Round,3,Melzer J.,Arazi H.,Melzer J.,1.8,1.909,4-6 7-6 6-1,530,490
Grand Prix de Lyon,8/10/2004,International,Indoor,Carpet,Quarterfinals,3,Youzhny M.,Malisse X.,Malisse X.,1.571,2.25,3-6 4-6,530,500
Grand Prix de Lyon,8/10/2004,International,Indoor,Carpet,Quarterfinals,3,Soderling R.,Johansson J.,Soderling R.,2.375,1.533,6-3 6-4,510,550
Grand Prix de Lyon,8/10/2004,International,Indoor,Carpet,Quarterfinals,3,Bjorkman J.,Ferrer D.,Ferrer D.,1.533,2.375,2-6 4-6,480,510
Grand Prix de Lyon,8/10/2004,International,Indoor,Carpet,Quarterfinals,3,Spadea V.,Melzer J.,Spadea V.,1.571,2.25,1-6 6-1 7-6,590,525
Grand Prix de Lyon,9/10/2004,International,Indoor,Carpet,Semifinals,3,Ferrer D.,Malisse X.,Malisse X.,2.2,1.615,4-6 2-6,505,505
Grand Prix de Lyon,9/10/2004,International,Indoor,Carpet,Semifinals,3,Soderling R.,Spadea V.,Soderling R.,1.667,2.1,6-2 6-4,515,585
Grand Prix de Lyon,10/10/2004,International,Indoor,Carpet,The Final,3,Malisse X.,Soderling R.,Soderling R.,2.1,1.66,2-6 6-3 4-6,500,520
Japan Open,4/10/2004,International Gold,Outdoor,Hard,1st Round,3,Levy H.,Lu Y.H.,Levy H.,2.2,1.61,7-6 7-6,465,480
Japan Open,4/10/2004,International Gold,Outdoor,Hard,1st Round,3,Garcia A.,Suzuki T.,Suzuki T.,2.0,1.72,6-7 6-7,490,495
Japan Open,4/10/2004,International Gold,Outdoor,Hard,1st Round,3,Bogomolov A.,Tipsarevic J.,Bogomolov A.,1.83,1.83,6-3 3-6 7-6,470,480
Japan Open,4/10/2004,International Gold,Outdoor,Hard,1st Round,3,Philippoussis M.,Zib T.,Zib T.,1.364,2.875,3-6 4-6,470,480
Japan Open,5/10/2004,International Gold,Outdoor,Hard,1st Round,3,Arthurs W.,Lisnard J.R.,Arthurs W.,1.444,2.625,6-4 7-5,475,455
Japan Open,5/10/2004,International Gold,Outdoor,Hard,1st Round,3,Morrison J.,Wang Y.T.,Wang Y.T.,1.5,2.1,3-6 6-7,495,495
Japan Open,5/10/2004,International Gold,Outdoor,Hard,1st Round,3,Thomann N.,Pless K.,Thomann N.,2.8433333333333333,1.3793333333333333,7-6 7-6,490,475
Japan Open,5/10/2004,International Gold,Outdoor,Hard,1st Round,3,Weiner G.,Motomura G.,Motomura G.,1.444,2.625,4-6 3-6,485,505
Japan Open,6/10/2004,International Gold,Outdoor,Hard,1st Round,3,Phau B.,Iwami T.,Phau B.,1.3,2.7,6-4 6-1,500,495
Japan Open,6/10/2004,International Gold,Outdoor,Hard,1st Round,3,Okun N.,Ulihrach B.,Ulihrach B.,1.533,2.375,4-6 1-6,495,445
Japan Open,6/10/2004,International Gold,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Burgsmuller L.,Garcia-Lopez G.,2.25,1.571,6-4 2-6 6-3,495,445
Japan Open,6/10/2004,International Gold,Outdoor,Hard,1st Round,3,Peya A.,Chiudinelli M.,Chiudinelli M.,1.875,1.75,6-4 3-6 4-6,470,485
Japan Open,6/10/2004,International Gold,Outdoor,Hard,1st Round,3,Saretta F.,Vacek J.,Saretta F.,1.444,2.625,6-3 6-4,485,455
Japan Open,6/10/2004,International Gold,Outdoor,Hard,1st Round,3,Carlsen K.,Kohlmann M.,Kohlmann M.,1.392,2.65,5-7 2-6,470,500
Japan Open,6/10/2004,International Gold,Outdoor,Hard,1st Round,3,Terachi T.,Iwabuchi S.,Terachi T.,2.0,1.55,6-1 6-3,505,490
Japan Open,6/10/2004,International Gold,Outdoor,Hard,2nd Round,3,Hernych J.,Suzuki T.,Suzuki T.,1.571,2.25,6-7 6-3 5-7,485,500
Japan Open,6/10/2004,International Gold,Outdoor,Hard,2nd Round,3,Saulnier C.,Thomann N.,Saulnier C.,1.4,2.75,2-6 6-1 6-4,515,485
Japan Open,6/10/2004,International Gold,Outdoor,Hard,2nd Round,3,Bogomolov A.,Muller G.,Muller G.,2.0,1.727,3-6 1-6,465,510
